Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$145,585 /yr (est.)",145585.0,Senior Technical Artist,0.0,1,0,Fortis Games, CA,4.3,0,2.0,201 to 500 Employees,2021,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.1,4.3,4.4,4.1,4.2,yr,3.0,6.5103668261563
"$43,416 /yr (est.)",43416.0,Graphic Designer,2.0,1,0,Jenkins Auto Group Corporate, FL,3.3,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.0,3.2,3.0,3.1,2.4,yr,4.464377406931964,6.5103668261563
"$60,628 /yr (est.)",60628.0,Multimedia Designer,0.0,1,-1,Old Dominion University, VA,4.1,0,93.0,1001 to 5000 Employees,1930,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.5,3.3,3.9,3.7,3.9,yr,5.0,6.0
"$42,500 /yr (est.)",42500.0,Graphic Designer Entry Level,1.0,1,-1,FOCO, NJ,2.3,0,22.0,51 to 200 Employees,2001,Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,2.2,1.8,2.0,1.8,1.7,yr,2.0,6.5103668261563
$22.00 /hr (est.),45760.0,3D Graphic Designer,5.0,1,-1,ReechCraft, ND,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,hr,4.464377406931964,6.5103668261563
"$52,456 /yr (est.)",52456.0,DESIGN ASSISTANT,2.991297670847197,-1,-1,Matteo LLC, CA,2.0,0,37.640253565768624,-1,-1,Private,-1,-1,-1,1.9,2.0,1.6,1.6,2.0,yr,4.464377406931964,6.5103668261563
"$56,804 /yr (est.)",56804.0,Studio Photographer,5.0,1,-1,YETI, TX,4.2,0,17.0,501 to 1000 Employees,2006,Public,Consumer Product Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.9,3.8,4.0,4.0,4.0,yr,4.0,7.0
"$112,500 /yr (est.)",112500.0,Senior Materials Artist,2.0,1,-1,31st Union, CA,4.0,0,37.640253565768624,-1,-1,Private,-1,-1,-1,5.0,3.5,4.0,4.0,5.0,yr,4.464377406931964,6.5103668261563
"$84,049 /yr (est.)",84049.0,SENIOR BRAND DESIGNER,6.0,1,0,Brand Bureau, NY,3.3,0,37.640253565768624,-1,-1,Private,-1,-1,-1,2.6,2.9,2.9,2.5,2.5,yr,4.464377406931964,6.5103668261563
"$127,709 /yr (est.)",127709.0,Sr. Technical Artist,0.0,1,1,Azra Games, CA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$45,000 /yr (est.)",45000.0,Graphic Designer,0.0,1,1,TAMARAK CAPITAL, UT,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
$24.00 /hr (est.),49920.0,"Entertainment Graphic Designer, Sr.",0.0,1,1,SeaWorld San Diego, CA,3.4,0,64.0,10000+ Employees,1959,Public,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.3,2.9,3.4,3.1,3.2,hr,7.0,7.0
"$66,243 /yr (est.)",66243.0,Senior VFX Artist,5.0,1,1,PUBG Madison, WI,4.3,0,6.0,501 to 1000 Employees,2017,Private,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),4.3,4.3,4.0,3.6,3.9,yr,4.0,7.0
"$85,635 /yr (est.)",85635.0,Branded Environments - Designer II,5.0,1,-1,Perkins+Will, TX,4.1,0,88.0,1001 to 5000 Employees,1935,Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),3.9,3.5,4.2,3.6,3.6,yr,5.0,6.0
"$89,424 /yr (est.)",89424.0,"3D Artist, Environment",0.0,1,-1,Funovus, CA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$79,698 /yr (est.)",79698.0,3D Character Artist (mid to senior),3.0,1,1,Super Evil Megacorp, CA,3.8,0,11.0,51 to 200 Employees,2012,Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,yr,2.0,3.0
"$115,595 /yr (est.)",115595.0,3D Artist,5.0,1,1,HTC.com, WA,3.7,0,26.0,10000+ Employees,1997,Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.2,3.4,3.4,3.2,3.6,yr,7.0,9.0
"$74,315 /yr (est.)",74315.0,Texture Artist,0.0,1,1,Tippett Studio, CA,3.7,0,37.640253565768624,-1,-1,Private,-1,-1,-1,2.9,3.3,3.7,3.4,3.5,yr,4.464377406931964,6.5103668261563
$46.88 /hr (est.),97510.4,Environment Artist,3.0,2,1,Bad Robot Games, CA,5.0,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.0,4.0,5.0,5.0,4.0,hr,4.464377406931964,6.5103668261563
"$173,000 /yr (est.)",173000.0,Senior Character Artist - Sanzaru,5.0,1,1,Meta, CA,3.9,0,19.0,10000+ Employees,2004,Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,yr,7.0,9.0
"$70,217 /yr (est.)",70217.0,3D Artists,0.0,1,0,FarSight Studios, CA,3.2,0,37.640253565768624,-1,-1,Private,-1,-1,-1,2.7,1.5,3.2,2.8,4.5,yr,4.464377406931964,6.5103668261563
"$53,667 /yr (est.)",53667.0,Environment Artist,7.0,1,-1,Epic Games, NC,4.2,0,32.0,1001 to 5000 Employees,1991,Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,yr,5.0,6.5103668261563
"$62,470 /yr (est.)",62470.0,Character Artist,3.0,1,1,Arkane Studios, TX,3.4,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.1,3.9,3.8,3.4,3.9,yr,4.464377406931964,6.5103668261563
"$96,305 /yr (est.)",96305.0,Senior Texture Artist,3.0,1,1,PlayStation Global, OR,4.0,0,29.0,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.8,yr,6.0,9.0
"$86,246 /yr (est.)",86246.0,DevOps Engineer- Remote,3.0,1,1,Kasasa, TX,3.6,0,19.0,201 to 500 Employees,2004,Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.1,3.2,3.8,3.1,3.8,yr,3.0,6.5103668261563
"$162,000 /yr (est.)",162000.0,Engineer - AR Computer Vision,3.0,1,1,Child Mind Institute, NY,3.5,0,14.0,201 to 500 Employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.7,3.4,3.0,3.0,3.3,yr,3.0,6.5103668261563
"$82,500 /yr (est.)",82500.0,QA Engineer I (REMOTE-Pacific Time Zone Only),2.0,1,-1,Ambry Genetics Corporation, CA,3.3,0,24.0,501 to 1000 Employees,1999,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,2.8,3.1,3.3,2.5,3.2,yr,4.0,6.5103668261563
"$177,000 /yr (est.)",177000.0,Machine Learning Engineer - Language Modeling (Remote),6.0,1,1,Quora,Remote,4.4,1,14.0,201 to 500 Employees,2009,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.2,4.2,3.8,4.3,yr,3.0,6.5103668261563
"$107,500 /yr (est.)",107500.0,Software Testing Engineer,5.0,1,1,Metrum Research Group,Remote,3.8574592668024437,1,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$112,500 /yr (est.)",112500.0,Database Engineer,5.0,1,1,Veros, CA,3.6,0,22.0,51 to 200 Employees,2001,Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.3,3.4,3.6,3.5,3.9,yr,2.0,2.0
"$133,662 /yr (est.)",133662.0,Software Engineer - Computer Vision,2.0,1,-1,Verkada, CA,3.7,0,7.0,1001 to 5000 Employees,2016,Private,Software Development,Information Technology,Unknown / Non-Applicable,3.8,3.8,3.6,3.5,3.2,yr,5.0,6.5103668261563
$34.00 /hr (est.),70720.0,Co-Op Computer Vision - Deep Learning (Fall 2023),0.0,1,-1,Torc Robotics, TX,4.4,0,16.0,501 to 1000 Employees,2007,Private,Software Development,Information Technology,$25 to $100 million (USD),4.1,4.5,4.6,4.0,4.2,hr,4.0,6.5103668261563
"$114,100 /yr (est.)",114100.0,Software Engineer,0.0,1,-1,Microsoft, WA,4.3,0,48.0,10000+ Employees,1975,Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.1,4.1,4.3,3.9,4.1,yr,7.0,9.0
"$140,000 /yr (est.)",140000.0,Machine Learning Engineer,3.0,1,1,Radformation,Remote,5.0,1,7.0,51 to 200 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,5.0,5.0,5.0,4.6,yr,2.0,6.5103668261563
"$104,409 /yr (est.)",104409.0,Machine Learning Engineer,0.0,1,0,Lender Toolkit, UT,4.0,0,8.0,1 to 50 Employees,2015,Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.8,4.2,3.9,3.9,3.7,yr,1.0,6.5103668261563
"$115,000 /yr (est.)",115000.0,Junior Software Development Engineer in Test (SDET) - Monetization Technology/Ads Engineering,0.0,1,1,TikTok, CA,3.6,0,7.0,1001 to 5000 Employees,2016,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,yr,5.0,6.5103668261563
"$68,000 /yr (est.)",68000.0,Associate Application Support Engineer,1.0,1,0,iController,Remote,3.3,1,22.0,501 to 1000 Employees,2001,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.2,3.4,3.0,3.5,yr,4.0,6.5103668261563
"$105,000 /yr (est.)",105000.0,Software Engineer (Angular),5.0,1,-1,"IntelliSurvey, Inc.",Remote,4.8,1,22.0,51 to 200 Employees,2001,Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),4.4,4.5,4.7,4.8,4.4,yr,2.0,6.5103668261563
"$95,000 /yr (est.)",95000.0,Strong React.JS Engineer,3.0,1,-1,Xcellent Technology,Remote,3.1,1,37.640253565768624,-1,-1,Private,-1,-1,-1,2.9,3.9,3.0,3.0,3.6,yr,4.464377406931964,6.5103668261563
"$175,000 /yr (est.)",175000.0,Staff Frontend Engineer,0.0,2,1,Runway AI,Remote,5.0,1,5.0,1 to 50 Employees,2018,Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,yr,1.0,6.5103668261563
"$114,251 /yr (est.)",114251.0,Business Intelligence Analytics Engineer,0.0,1,1,BetterSleep, CA,4.8,0,13.0,1 to 50 Employees,2010,Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.4,4.9,4.6,4.7,yr,1.0,6.5103668261563
"$185,000 /yr (est.)",185000.0,Fullstack Engineer (Research),3.0,1,-1,Blockworks,Remote,4.8,1,5.0,1 to 50 Employees,2018,Private,Publishing,Media & Communication,$5 to $25 million (USD),4.8,4.5,4.9,5.0,4.7,yr,1.0,3.0
"$88,000 /yr (est.)",88000.0,Associate - Data Engineer,0.0,1,1,Charles Schwab, TX,4.1,0,50.0,10000+ Employees,1973,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.9,4.2,3.8,4.1,yr,7.0,9.0
"$137,457 /yr (est.)",137457.0,"Machine Learning Engineer – 3D computer vision, Autopilot AI",0.0,2,-1,Tesla, CA,3.6,0,20.0,10000+ Employees,2003,Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,yr,7.0,7.0
"$88,500 /yr (est.)",88500.0,Associate Software Engineer,0.0,1,0,Ancestry,Remote,3.7,1,40.0,1001 to 5000 Employees,1983,Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),3.1,3.5,3.8,3.2,4.1,yr,5.0,7.0
"$120,000 /yr (est.)",120000.0,Computer Vision/Machine Learning Engineer,5.0,1,1,Noria Water Technologies, CA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$115,000 /yr (est.)",115000.0,Software Engineer,2.991297670847197,-1,-1,Polco,Remote,4.8,1,37.640253565768624,-1,-1,Private,-1,-1,-1,4.4,4.4,4.7,4.7,5.0,yr,4.464377406931964,6.5103668261563
"$105,450 /yr (est.)",105450.0,"Engineer I, Machine Learning",2.991297670847197,-1,-1,Alltrna, MA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$70,000 /yr (est.)",70000.0,Software Development Engineer I,0.0,1,1,Travelport, CO,3.5,0,52.0,1001 to 5000 Employees,1971,Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.3,3.4,3.6,3.1,3.9,yr,5.0,7.0
"$137,176 /yr (est.)",137176.0,Front End Engineer - Search & Computer Vision,0.0,1,-1,Verkada, CA,3.7,0,7.0,1001 to 5000 Employees,2016,Private,Software Development,Information Technology,Unknown / Non-Applicable,3.8,3.8,3.6,3.5,3.2,yr,5.0,6.5103668261563
"$68,808 /yr (est.)",68808.0,Front End Software Engineer,4.0,1,-1,The Boring Company, TX,3.2,0,6.0,51 to 200 Employees,2017,Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.5,3.5,3.1,2.9,2.6,yr,2.0,6.5103668261563
"$161,975 /yr (est.)",161975.0,Machine Learning Engineer - Computer Vision,3.0,1,0,TikTok, WA,3.6,0,7.0,1001 to 5000 Employees,2016,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,yr,5.0,6.5103668261563
"$209,000 /yr (est.)",209000.0,"Senior Software Engineer, Perception, Machine Learning/Computer Vision",0.0,2,-1,Nuro, CA,4.1,0,7.0,1001 to 5000 Employees,2016,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,4.0,4.1,3.6,3.9,yr,5.0,6.5103668261563
"$174,846 /yr (est.)",174846.0,"Staff, Software Development Engineer",0.0,1,0,Charles Schwab, TX,4.1,0,50.0,10000+ Employees,1973,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.9,4.2,3.8,4.1,yr,7.0,9.0
"$181,000 /yr (est.)",181000.0,"Research Scientist, Computer Vision",0.0,1,0,Snapchat, CA,3.9,0,12.0,5001 to 10000 Employees,2011,Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.3,4.0,3.1,3.7,yr,6.0,6.5103668261563
"$83,322 /yr (est.)",83322.0,Research Engineer (Computer Vision) - Remote,0.0,1,-1,Reality Defender, NY,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$92,500 /yr (est.)",92500.0,Software QA/Test Engineer,5.0,1,1,Travel Zap Inc.,Remote,4.6,1,11.0,51 to 200 Employees,2012,Private,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable,4.3,4.1,4.7,4.5,4.5,yr,2.0,6.5103668261563
"$77,500 /yr (est.)",77500.0,Associate Software Development Engineer in Test,0.0,1,0,Inari Medical, CA,4.6,0,12.0,1001 to 5000 Employees,2011,Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,4.8,4.5,4.7,4.6,4.4,yr,5.0,6.5103668261563
"$148,559 /yr (est.)",148559.0,"Software Engineer, Imaging - Cell Engineering",0.0,1,0,Tesla, CA,3.6,0,20.0,10000+ Employees,2003,Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,yr,7.0,7.0
"$94,482 /yr (est.)",94482.0,Business Intelligence Engineer - Remote,7.0,1,1,GXO Logistics, OR,3.5,0,2.0,10000+ Employees,2021,Public,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,3.3,3.2,3.2,3.0,3.2,yr,7.0,6.5103668261563
"$187,500 /yr (est.)",187500.0,Staff Machine Learning Engineer,2.991297670847197,-1,-1,Runway AI,Remote,5.0,1,5.0,1 to 50 Employees,2018,Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,yr,1.0,6.5103668261563
"$120,958 /yr (est.)",120958.0,Machine Learning Engineer- Computer Vision,0.0,1,-1,STR, MA,4.2,0,13.0,501 to 1000 Employees,2010,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,yr,4.0,6.0
"$101,707 /yr (est.)",101707.0,Computer Vision Engineer,0.0,1,-1,Oak Ridge National Laboratory, TN,3.7,0,80.0,5001 to 10000 Employees,1943,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.5,3.7,3.3,2.7,3.6,yr,6.0,6.5103668261563
"$117,387 /yr (est.)",117387.0,Computer Vision Engineer,0.0,1,-1,Expedition Technology, VA,4.6,0,10.0,51 to 200 Employees,2013,Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),4.6,4.5,4.9,4.7,4.9,yr,2.0,6.5103668261563
"$135,050 /yr (est.)",135050.0,Release Engineer,5.0,1,-1,Zillow,Remote,3.9,1,18.0,5001 to 10000 Employees,2005,Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.3,4.2,yr,6.0,7.0
"$105,450 /yr (est.)",105450.0,"Engineer I, Machine Learning",0.0,1,1,Alltrna, MA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$120,958 /yr (est.)",120958.0,Machine Learning Engineer- Computer Vision,2.991297670847197,-1,-1,STR, MA,4.2,0,13.0,501 to 1000 Employees,2010,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.3,4.5,4.1,4.0,4.1,yr,4.0,6.0
"$181,000 /yr (est.)",181000.0,"Research Scientist, Computer Vision",2.991297670847197,-1,-1,Snapchat, CA,3.9,0,12.0,5001 to 10000 Employees,2011,Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.3,4.0,3.1,3.7,yr,6.0,6.5103668261563
"$187,500 /yr (est.)",187500.0,Staff Machine Learning Engineer,0.0,2,-1,Runway AI,Remote,5.0,1,5.0,1 to 50 Employees,2018,Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,yr,1.0,6.5103668261563
"$120,386 /yr (est.)",120386.0,Amazon Robotics - Business Intelligence Engineer Co-op (Performance & Insights) - Fall 2023,0.0,1,-1,Amazon.com Services LLC, MA,3.8,0,29.0,10000+ Employees,1994,Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,yr,7.0,9.0
"$157,500 /yr (est.)",157500.0,Senior Frontend Software Engineer,7.0,1,1,Feedonomics,Remote,4.7,1,9.0,201 to 500 Employees,2014,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.7,4.4,4.8,4.7,4.6,yr,3.0,6.5103668261563
"$108,400 /yr (est.)",108400.0,QA Engineer,5.0,1,-1,Moody's, NY,3.8,0,123.0,10000+ Employees,1900,Public,Research & Development,Management & Consulting,$1 to $5 billion (USD),3.4,3.5,3.8,3.3,3.6,yr,7.0,7.0
"$109,059 /yr (est.)",109059.0,"Engineer I, Machine Learning",0.0,1,1,"Flagship Pioneering, Inc.", MA,3.5,0,23.0,51 to 200 Employees,2000,Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.6,3.4,3.0,3.1,3.0,yr,2.0,6.5103668261563
"$103,999 /yr (est.)",103999.0,Data Scientist,0.0,2,1,Markel Corporation, VA,3.9,0,43.0,5001 to 10000 Employees,1980,Public,Insurance Carriers,Insurance,$10+ billion (USD),3.7,3.6,4.0,3.6,4.1,yr,6.0,9.0
"$140,280 /yr (est.)",140280.0,Machine Learning Research Engineer,2.0,1,-1,Video.io, CA,3.0,0,37.640253565768624,-1,-1,Private,-1,-1,-1,4.0,4.0,4.0,4.0,4.0,yr,4.464377406931964,6.5103668261563
"$174,846 /yr (est.)",174846.0,"Staff, Software Development Engineer",2.991297670847197,-1,-1,Charles Schwab, TX,4.1,0,50.0,10000+ Employees,1973,Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.9,4.2,3.8,4.1,yr,7.0,9.0
"$127,334 /yr (est.)",127334.0,Machine Learning Engineer - Computer Vision and Geospatial Analytics,5.0,1,1,Buzz Solutions, CA,4.5,0,37.640253565768624,-1,-1,Private,-1,-1,-1,4.2,4.2,4.8,4.5,4.8,yr,4.464377406931964,6.5103668261563
"$77,500 /yr (est.)",77500.0,Associate Software Development Engineer in Test,2.991297670847197,-1,-1,Inari Medical, CA,4.6,0,12.0,1001 to 5000 Employees,2011,Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,4.8,4.5,4.7,4.6,4.4,yr,5.0,6.5103668261563
"$90,000 /yr (est.)",90000.0,Software Engineer,0.0,1,-1,Sagitec,Remote,3.9,1,19.0,501 to 1000 Employees,2004,Private,Software Development,Information Technology,$25 to $100 million (USD),3.8,3.7,4.0,3.8,3.9,yr,4.0,6.5103668261563
"$125,000 /yr (est.)",125000.0,Software Engineer – R&D,3.0,1,-1,"Sony Pictures Entertainment, Inc.", CA,3.9,0,34.0,5001 to 10000 Employees,1989,Subsidiary or Business Segment,Film Production,Media & Communication,$5 to $10 billion (USD),3.2,3.7,3.8,3.3,3.8,yr,6.0,8.0
"$150,000 /yr (est.)",150000.0,"Producer - Programming, Computer Science, and Technology",0.0,1,1,Brilliant, CA,3.8574592668024437,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$100,000 /yr (est.)",100000.0,Software Test Engineer,0.0,1,-1,OpenDrives,Remote,4.3,1,12.0,51 to 200 Employees,2011,Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.3,4.2,4.3,4.0,3.5,yr,2.0,6.5103668261563
"$125,314 /yr (est.)",125314.0,Computer Science Engineer,1.0,1,-1,Rakuten, CA,4.0,0,14.0,201 to 500 Employees,2009,Private,Media & Entertainment Stores,Retail & Wholesale,$500 million to $1 billion (USD),3.7,3.5,4.2,3.5,4.0,yr,3.0,7.0
"$207,000 /yr (est.)",207000.0,"Software Engineer, Computer Vision - Reality Labs",0.0,1,-1,Meta, CA,3.9,0,19.0,10000+ Employees,2004,Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,yr,7.0,9.0
"$104,606 /yr (est.)",104606.0,Computer Vision Engineer,0.0,1,-1,AGCO, IL,3.9,0,33.0,10000+ Employees,1990,Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.6,3.7,3.3,3.5,yr,7.0,9.0
"$115,000 /yr (est.)",115000.0,Software Engineer,2.0,1,-1,Polco,Remote,4.8,1,37.640253565768624,-1,-1,Private,-1,-1,-1,4.4,4.4,4.7,4.7,5.0,yr,4.464377406931964,6.5103668261563
"$212,500 /yr (est.)",212500.0,"Software Engineer, Frontend",5.0,1,-1,NewsBreak, CA,3.5,0,8.0,51 to 200 Employees,2015,Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,2.9,3.6,3.0,3.0,3.8,yr,2.0,6.5103668261563
"$78,199 /yr (est.)",78199.0,Jr Software Engineer,1.0,1,1,Convr, IL,4.8,0,7.0,1 to 50 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,3.8,4.5,4.4,4.1,yr,1.0,6.5103668261563
"$68,078 /yr (est.)",68078.0,Junior Software Developer (Remote),1.0,1,0,SnapRISK,Remote,3.8574592668024437,1,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,yr,4.464377406931964,6.5103668261563
"$109,905 /yr (est.)",109905.0,Data Engineer (Remote/Virtual),2.0,1,1,Grainger,LA,4.1,0,96.0,10000+ Employees,1927,Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.9,4.1,4.1,3.8,3.9,yr,7.0,9.0
$45.00 /hr (est.),93600.0,Computer Vision Engineer I,0.0,1,-1,"Intelliswift Software, Inc.", PA,4.2,0,22.0,1001 to 5000 Employees,2001,Private,Software Development,Information Technology,$100 to $500 million (USD),4.1,3.9,4.1,4.0,4.1,hr,5.0,6.0
"$64,876 /yr (est.)",64876.0,Digital Artist,0.0,1,-1,77Sparx, CA,5.0,0,37.640253565768624,-1,-1,Private,-1,-1,-1,2.0,3.0,5.0,5.0,5.0,yr,4.464377406931964,6.5103668261563
"$70,018 /yr (est.)",70018.0,3D Environment Artist (mid-level),5.0,1,1,Super Evil Megacorp, CA,3.8,0,11.0,51 to 200 Employees,2012,Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,yr,2.0,3.0
$42.50 /hr (est.),88400.0,Unity Developer,3.0,1,1,Allerion Solutions LLC,Remote,3.8574592668024437,1,37.640253565768624,-1,-1,Private,-1,-1,-1,3.6276863753213364,3.69159383033419,3.803007712082262,3.490668380462725,3.7612082262210795,hr,4.464377406931964,6.5103668261563
$37.50 /hr (est.),78000.0,Creative Production Artist,0.0,2,-1,Midnight Oil, CA,2.8,0,45.0,201 to 500 Employees,1978,Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),2.6,3.0,3.0,2.4,2.9,hr,3.0,6.5103668261563
"$50,976 /yr (est.)",50976.0,Level Artist,0.0,1,1,Gearbox Software, TX,3.8,0,24.0,501 to 1000 Employees,1999,Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.3,3.4,3.8,3.6,4.1,yr,4.0,6.5103668261563
"$70,019 /yr (est.)",70019.0,Senior Weapon / Prop Artist,0.0,1,1,id Software, TX,4.2,0,32.0,51 to 200 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.0,4.4,3.9,3.5,3.7,yr,2.0,6.5103668261563
"$62,518 /yr (est.)",62518.0,Character Artist,3.0,1,1,Arkane Studios, TX,3.4,0,37.640253565768624,-1,-1,Private,-1,-1,-1,3.1,3.9,3.8,3.4,3.9,yr,4.464377406931964,6.5103668261563
"$80,000 /yr (est.)",80000.0,Concept Artist (Full-Time),0.0,1,-1,"GungHo Online Entertainment America, Inc.", CA,3.7,0,11.0,1 to 50 Employees,2012,Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.0,3.9,2.8,3.5,yr,1.0,6.5103668261563
