,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
270,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
271,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
272,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
273,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
277,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
278,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
279,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
280,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
281,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
283,Junior Software Developer,91500.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,3.9,3.9,3.9,3.4,3.4,3.9
284,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
285,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
286,AWS Developer,90193.0,-1,MASTER,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
287,Software Developer,90000.0,3,BACHELOR,-1,1,3,38,6,4.4,4.4,3.7,4.3,4.0,4.0
288,Senior Software Developer,135900.0,4,BACHELOR,SENIOR,0,7,12,8,3.7,3.6,3.5,3.6,3.3,3.6
289,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,Jr Frontend Developer,70000.0,10,BACHELOR,SENIOR,0,2,18,-1,4.1,4.1,4.0,4.3,4.1,4.2
291,Java Developer (AWS),140400.0,5,BACHELOR,-1,0,1,-1,2,5.0,-1,-1,-1,-1,-1
292,Python Developer,109275.0,2,BACHELOR,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
293,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
294,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,Jr. Software Developer,101668.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,AWS with Java Developer,121264.0,10,DOCTOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
299,Automation Testing Software Developer,114400.0,-1,BACHELOR,-1,0,2,-1,3,3.7,2.3,2.8,3.0,2.6,3.2
300,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
301,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
302,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
304,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
306,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
307,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
309,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
311,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
312,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
313,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,IT Software Developer,142480.0,2,BACHELOR,-1,0,-1,-1,-1,4.0,4.1,3.9,4.1,4.2,3.9
315,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
316,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
317,Java Developer,130000.0,-1,MASTER,-1,0,4,17,-1,3.9,3.9,3.9,3.9,3.9,4.0
318,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
319,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
320,Core Java/J2EE developer,109200.0,10,MASTER,-1,0,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
321,Java Full Stack Developer,130000.0,7,BACHELOR,SENIOR,0,3,25,4,4.0,4.1,3.9,4.2,4.3,4.2
322,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
323,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
324,Senior Java/J2EE Developer,111280.0,12,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,Python Developer,145600.0,3,MASTER,SENIOR,0,5,16,7,3.6,3.6,3.8,3.8,3.2,3.9
326,Java React Developer,130000.0,8,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
327,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
328,AngularJS Developer,111905.0,10,BACHELOR,SENIOR,0,1,1,-1,-1,-1,-1,-1,-1,-1
329,AWS with Java Developer,121264.0,10,DOCTOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
330,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
331,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
332,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
333,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
334,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
336,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
337,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
338,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
339,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
340,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
341,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
342,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
343,Java Developer,130000.0,-1,MASTER,-1,0,4,17,-1,3.9,3.9,3.9,3.9,3.9,4.0
344,IT Software Developer,142480.0,2,BACHELOR,-1,0,-1,-1,-1,4.0,4.1,3.9,4.1,4.2,3.9
345,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
346,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
347,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
348,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
349,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
351,Senior Java/J2EE Developer,111280.0,12,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
352,Senior Software Developer,135900.0,4,BACHELOR,SENIOR,0,7,12,8,3.7,3.6,3.5,3.6,3.3,3.6
353,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
354,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,Junior Software Developer,69420.0,2,BACHELOR,JUNIOR,0,1,-1,2,4.0,3.4,3.1,2.4,3.1,3.4
356,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
357,Java Full Stack Developer,130000.0,7,BACHELOR,SENIOR,0,3,25,4,4.0,4.1,3.9,4.2,4.3,4.2
358,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,Junior Java Developer,69680.0,1,BACHELOR,-1,0,1,-1,2,5.0,-1,-1,-1,-1,-1
360,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
361,Python Developer With AWS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
362,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
363,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
364,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
365,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
366,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
367,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
369,Java Developer,130000.0,-1,MASTER,-1,0,4,17,-1,3.9,3.9,3.9,3.9,3.9,4.0
370,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
371,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
372,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
375,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
376,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
377,Java Full Stack Developer 021,150800.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
378,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
379,Junior Java Developer,69680.0,1,BACHELOR,-1,0,1,-1,2,5.0,-1,-1,-1,-1,-1
380,AWS FULL STACK DEVELOPER,187200.0,9,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
381,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
382,IT Software Developer,142480.0,2,BACHELOR,-1,0,-1,-1,-1,4.0,4.1,3.9,4.1,4.2,3.9
383,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
384,Junior Software Developer,90000.0,-1,BACHELOR,JUNIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
386,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
387,Java React Developer,130000.0,8,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
388,Java API developer,109200.0,5,MASTER,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
389,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
390,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
392,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
393,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
394,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
395,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
396,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
401,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
403,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
404,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
405,Python Developer With ReactJS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
406,Software Engineer (Remote),122500.0,1,BACHELOR,-1,0,1,9,-1,3.5,3.5,3.1,4.0,3.4,4.3
408,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
409,Junior Java Developer,69680.0,1,BACHELOR,-1,0,1,-1,2,5.0,-1,-1,-1,-1,-1
410,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
411,Java Developer,135200.0,6,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
412,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
413,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
414,Java React Developer,130000.0,8,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
415,Core Java/J2EE developer,109200.0,10,MASTER,-1,0,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,5.0
416,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
418,Java Developer (Backend),130000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
419,Junior Software Developer,91500.0,-1,BACHELOR,JUNIOR,0,-1,-1,-1,3.9,3.9,3.9,3.4,3.4,3.9
420,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
422,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
423,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
424,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
426,Factory Java Developer,114400.0,8,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
427,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
429,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
430,"Full Stack Java Developer (AWS, 10+ Years)",156000.0,10,BACHELOR,SENIOR,0,1,-1,2,5.0,-1,-1,-1,-1,-1
431,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
432,Java Developer (backend)(Only for US and GC candidate),83200.0,6,MASTER,-1,0,1,-1,-1,5.0,4.0,4.0,4.0,4.0,4.0
433,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
434,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
435,Junior Java Developer,69680.0,1,BACHELOR,-1,0,1,-1,2,5.0,-1,-1,-1,-1,-1
436,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
438,Java Developer (Backend),130000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
439,Software Engineer (Remote),122500.0,1,BACHELOR,-1,0,1,9,-1,3.5,3.5,3.1,4.0,3.4,4.3
440,Java Developer,135200.0,6,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
441,Junior Software Developer (Remote),68078.0,1,BACHELOR,JUNIOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
442,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
443,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
444,Java Developer,101691.2,4,MASTER,-1,0,1,-1,-1,4.1,4.1,4.0,4.0,4.0,4.1
445,Frontend UI Developer,105000.0,7,MASTER,-1,0,2,13,4,4.0,3.7,3.8,3.7,3.5,3.9
446,Software Developer,82500.0,4,BACHELOR,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
447,Software Developer,114400.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
448,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
449,Sr. Java Developer,140400.0,-1,DOCTOR,-1,0,2,-1,-1,5.0,5.0,4.6,4.8,4.8,4.8
451,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
452,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
453,Java Developer,135200.0,6,BACHELOR,JUNIOR,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
454,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
455,Sr. Java Developer,140400.0,12,BACHELOR,-1,0,1,13,3,3.9,3.7,3.8,3.5,3.5,3.4
456,Java Developer,91977.0,6,MASTER,-1,0,2,13,2,3.3,3.0,3.4,3.1,3.0,3.3
457,Sr. Java Developer,140400.0,-1,DOCTOR,-1,0,2,-1,-1,5.0,5.0,4.6,4.8,4.8,4.8
458,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
459,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
460,Java Developer (Backend),130000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
461,Java Microservices Developer,135200.0,10,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
462,Java Developer,130000.0,-1,MASTER,-1,0,4,17,-1,3.9,3.9,3.9,3.9,3.9,4.0
463,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
464,Java Developer Mid,94449.0,4,BACHELOR,-1,0,1,-1,1,3.6,3.4,3.2,3.4,3.4,3.2
465,Java Developer,135200.0,10,BACHELOR,SENIOR,0,2,11,-1,4.5,4.4,3.7,4.0,4.5,3.8
466,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
467,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
468,Sr. Java Developer(Onsite),148720.0,8,BACHELOR,SENIOR,0,2,-1,-1,3.6,3.0,3.0,2.5,3.0,2.5
469,Java Developer,135200.0,6,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
470,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
472,Java Developer,101691.2,4,MASTER,-1,0,1,-1,-1,4.1,4.1,4.0,4.0,4.0,4.1
473,Sr. Backend Java Developer,140400.0,10,MASTER,-1,0,5,16,7,3.6,3.6,3.8,3.8,3.2,3.9
474,Java Developer,107500.0,9,MASTER,-1,0,-1,17,-1,4.0,3.7,3.8,3.9,3.5,3.8
475,java microservices developer,144248.0,9,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
476,Java Full Stack Developer,129001.6,-1,BACHELOR,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
478,Java Developer,147500.0,-1,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
479,Software Developer,86285.0,-1,MASTER,-1,0,3,24,4,4.7,4.4,4.3,4.8,4.6,4.6
480,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
481,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
482,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
483,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
484,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
485,Factory Java Developer,114400.0,8,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
486,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
487,Java Developer (Backend),130000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
488,Sr. Java Developer,140400.0,12,BACHELOR,-1,0,1,13,3,3.9,3.7,3.8,3.5,3.5,3.4
489,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
491,Java Microservices Developer,135200.0,10,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
492,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
494,Java Backend Developer,114400.0,10,BACHELOR,SENIOR,0,1,-1,-1,4.6,4.6,4.2,4.4,4.3,4.6
495,Sr. Java Developer,140400.0,-1,DOCTOR,-1,0,2,-1,-1,5.0,5.0,4.6,4.8,4.8,4.8
496,SENIOR Java backend Developer,156000.0,10,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
497,Java Developer,135200.0,10,BACHELOR,SENIOR,0,2,11,-1,4.5,4.4,3.7,4.0,4.5,3.8
498,Senior Contract Java Developer,130000.0,8,BACHELOR,SENIOR,0,1,-1,-1,-1,-1,-1,-1,-1,-1
499,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
500,Java Developer,91977.0,6,MASTER,-1,0,2,13,2,3.3,3.0,3.4,3.1,3.0,3.3
502,Java Developer,130000.0,-1,MASTER,-1,0,4,17,-1,3.9,3.9,3.9,3.9,3.9,4.0
503,AWS Developer,166400.0,5,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
504,Java Developer,124800.0,5,BACHELOR,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
505,Java Developer,107500.0,9,MASTER,-1,0,-1,17,-1,4.0,3.7,3.8,3.9,3.5,3.8
506,Java Developer,124800.0,-1,BACHELOR,-1,0,7,96,7,3.3,3.1,3.0,3.1,3.0,2.9
508,Java AWS Developer with Terrafrom,135200.0,1,MASTER,-1,0,1,-1,-1,4.2,3.9,3.7,4.0,4.0,4.2
509,Java Backend Engineer,104227.0,5,BACHELOR,SENIOR,0,2,19,4,4.3,4.2,4.3,4.7,4.7,4.5
510,Software Developer,124800.0,2,BACHELOR,-1,1,2,-1,4,3.8,3.3,2.6,3.1,3.3,3.8
511,Software Developer - JAVA (#0000101540),142480.0,5,BACHELOR,JUNIOR,0,5,24,6,3.5,3.5,3.2,3.4,3.2,3.5
512,Software Developer,140400.0,1,BACHELOR,-1,0,1,-1,-1,4.1,4.1,4.1,4.1,4.1,4.1
513,Terraform developer,156000.0,5,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
515,Sr. Java Developer,145600.0,2,MASTER,JUNIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
516,SENIOR Java backend Developer,156000.0,10,MASTER,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
517,Factory Java Developer,114400.0,8,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
519,Java Backend Developer,114400.0,6,BACHELOR,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
520,Apigee API Software Developer,114400.0,-1,MASTER,SENIOR,1,2,-1,-1,5.0,5.0,4.7,4.9,4.7,5.0
521,Sr. Java Developer(Onsite),148720.0,8,BACHELOR,SENIOR,0,2,-1,-1,3.6,3.0,3.0,2.5,3.0,2.5
522,Java Developer with React,140400.0,9,BACHELOR,-1,1,2,6,-1,4.3,4.0,4.0,4.3,3.9,4.1
523,Java Developer (Backend),130000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
524,Sr. Java Developer,140400.0,12,BACHELOR,-1,0,1,13,3,3.9,3.7,3.8,3.5,3.5,3.4
525,Java Full Stack Developer,130000.0,4,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
527,Java Microservices Developer,135200.0,10,BACHELOR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
528,Sr. Backend Java Developer,140400.0,10,MASTER,-1,0,5,16,7,3.6,3.6,3.8,3.8,3.2,3.9
529,Java Backend Developer,119600.0,7,BACHELOR,-1,0,1,-1,-1,5.0,4.5,4.5,5.0,5.0,5.0
530,Python Developer With ReactJS,130000.0,10,MASTER,-1,0,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
531,Java Full Stack Developer,130000.0,7,BACHELOR,SENIOR,0,3,25,4,4.0,4.1,3.9,4.2,4.3,4.2
