,Company Name,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
130,"Booz Allen Hamilton
4.2",Front End Web Developer,85550.0,-1,-1,-1,"Reston, VA",0,10000+ Employees,7,1914,109,Business Consulting,Management & Consulting,$5 to $10 billion (USD),8,Company - Public,4.2,4.1,3.9,4.3,4.0,4.3,2023-05-07 21:27:03.365644
133,"Warshauer Electric Supply
4.2",Web Developer,55628.0,-1,BACHELOR,-1,"Eatontown, NJ",0,51 to 200 Employees,2,1967,56,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),4,Company - Private,4.2,4.1,3.6,4.4,4.3,3.8,2023-05-07 21:27:11.557711
139,"i2i Workforce
3.0",Web Application Developer,95000.0,-1,BACHELOR,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),1,Company - Private,3.0,4.0,4.0,5.0,3.0,4.0,2023-05-07 21:27:26.515656
141,"WSFS Bank
3.4",Web Developer,75479.0,-1,BACHELOR,SENIOR,"Newark, DE",0,1001 to 5000 Employees,5,1832,191,Banking & Lending,Financial Services,$500 million to $1 billion (USD),7,Company - Public,3.4,3.4,3.2,3.7,3.4,3.6,2023-05-07 21:27:31.658028
142,Cyber Tech Group,UI Front End Developer,94489.0,-1,-1,SENIOR,"Houston, TX",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Unknown,-1,-1,-1,-1,-1,-1,2023-05-07 21:27:38.749767
143,"Planned Systems International
4.2",Jr Web Developer (Entry Level),71670.0,-1,BACHELOR,SENIOR,"Washington, DC",0,201 to 500 Employees,3,1988,35,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),6,Company - Private,4.2,4.1,4.4,4.3,4.1,4.2,2023-05-07 21:27:40.751153
144,"Samesurf
5.0",Front End Web Developer,67942.0,-1,-1,-1,"Beverly Hills, CA",0,1 to 50 Employees,1,2009,14,-1,-1,$5 to $25 million (USD),3,Company - Private,5.0,4.0,3.0,5.0,5.0,5.0,2023-05-07 21:27:42.913900
145,"SAP
4.4",Front End Developer,96806.0,3,BACHELOR,-1,"Palo Alto, CA",0,10000+ Employees,7,1972,51,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),9,Company - Public,4.4,4.1,4.0,4.5,4.0,4.3,2023-05-07 21:27:44.959230
147,"WilsonHCG
4.4",Web Developer,90000.0,-1,-1,SENIOR,United States,0,501 to 1000 Employees,4,2002,21,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,3.7,4.6,4.2,4.5,2023-05-07 21:27:48.658012
148,"Otoy, Inc
4.2",Web Developer,90000.0,3,-1,-1,"Los Angeles, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,4.2,4.0,4.4,3.8,4.0,4.1,2023-05-07 21:27:50.841218
149,"Maritz Inc.
3.8",Front End Developer,65653.0,-1,-1,-1,"Fenton, MO",0,1001 to 5000 Employees,5,1894,129,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),7,Company - Private,3.8,3.6,3.0,3.8,3.4,3.7,2023-05-07 21:27:52.876110
150,"Backcountry
2.7",Web Developer,70925.0,2,-1,-1,"Park City, UT",0,501 to 1000 Employees,4,1996,27,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),7,Company - Private,2.7,2.5,2.7,2.9,2.2,2.9,2023-05-07 21:27:57.792823
151,"Leaf Logistics
4.0",Frontend Engineer (Remote),80000.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,2023-05-07 21:28:00.139534
152,"Warshauer Electric Supply
4.2",Web Developer,55628.0,-1,BACHELOR,-1,"Eatontown, NJ",0,51 to 200 Employees,2,1967,56,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),4,Company - Private,4.2,4.1,3.6,4.4,4.3,3.8,2023-05-07 21:28:02.303722
153,"DealersLink
4.7",Junior Web UI Developer,84418.0,-1,-1,JUNIOR,"Broomfield, CO",0,Unknown,-1,-1,-1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.7,4.9,4.7,4.9,4.9,4.9,2023-05-07 21:28:04.818261
154,"WilsonHCG
4.4",Web Developer,90000.0,-1,-1,SENIOR,United States,0,501 to 1000 Employees,4,2002,21,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,3.7,4.6,4.2,4.5,2023-05-07 21:28:06.909904
155,"Mystic Lake Casino
3.7",Web Developer,59113.0,-1,BACHELOR,SENIOR,"Prior Lake, MN",0,Unknown,-1,1969,54,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Government,3.7,3.3,3.9,3.7,3.4,3.1,2023-05-07 21:28:09.336098
156,The Vitruvius Project,Web Developer,55000.0,2,BACHELOR,-1,"Albany, OR",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:28:11.543251
159,Office of the Revisor of Statutes,Web Developer,99555.0,-1,-1,-1,"Saint Paul, MN",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:28:16.605421
160,"Sperling Interactive
3.3",Junior Front End Web Developer,69220.0,-1,-1,JUNIOR,"Salem, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.3,3.0,3.4,3.9,3.4,4.2,2023-05-07 21:28:18.212343
162,"AcisTek Corporation
4.1",Entry-Level Web Developer,62500.0,1,-1,-1,"Arlington, VA",0,1 to 50 Employees,1,2005,18,Computer Hardware Development,Information Technology,Less than $1 million (USD),1,Company - Private,4.1,3.8,3.8,4.0,4.1,4.2,2023-05-07 21:28:22.492193
164,"Fasteners Inc.
3.5",Jr. Web Developer,45760.0,-1,-1,-1,"Las Vegas, NV",0,1 to 50 Employees,1,-1,-1,-1,-1,$25 to $100 million (USD),4,Company - Private,3.5,3.5,3.3,3.5,2.8,3.5,2023-05-07 21:28:26.296864
165,"Chaparral Boats Inc
2.8",Front End Web Developer,58329.0,-1,BACHELOR,JUNIOR,"Nashville, GA",0,501 to 1000 Employees,4,1965,58,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Public,2.8,2.6,3.2,3.0,2.1,2.9,2023-05-07 21:28:28.415027
166,Giraffon,Web Developer,63936.0,-1,-1,-1,"Provo, UT",0,1 to 50 Employees,1,-1,-1,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,2023-05-07 21:28:30.634850
167,JADR Software LLC,Web Developer,45000.0,2,BACHELOR,-1,Puerto Rico,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:28:32.594847
168,"Maritz Inc.
3.8",Front End Developer,65653.0,-1,-1,-1,"Fenton, MO",0,1001 to 5000 Employees,5,1894,129,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),7,Company - Private,3.8,3.6,3.0,3.8,3.4,3.7,2023-05-07 21:28:34.243636
170,Fame Foundry,Junior Web Designer & Front-End Developer,45000.0,-1,-1,-1,"Charlotte, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:28:38.706100
171,"Pereless Systems
4.6",Entry Level Web Application Developer,81597.0,1,-1,SENIOR,"Red Bank, NJ",0,51 to 200 Employees,2,2000,23,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.4,4.5,4.6,4.5,4.4,2023-05-07 21:28:40.313586
172,"Clarity Ventures
3.5",Front End Web Developer,67683.0,-1,-1,-1,"Austin, TX",0,1 to 50 Employees,1,2006,17,Internet & Web Services,Information Technology,$1 to $5 million (USD),2,Company - Private,3.5,3.7,3.7,3.6,3.3,3.0,2023-05-07 21:28:42.612923
173,"AllSynx
4.8",Junior Developer,84096.0,3,BACHELOR,JUNIOR,"Richardson, TX",0,51 to 200 Employees,2,2019,4,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.8,4.5,4.2,5.0,4.8,4.7,2023-05-07 21:28:45.118486
174,"Appteon Inc.
3.2",Junior Web Developer,73064.0,-1,-1,-1,"Reston, VA",0,1 to 50 Employees,1,2003,20,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.2,3.2,3.2,3.2,3.3,3.4,2023-05-07 21:28:47.356386
176,"CAMELOT 3PL SOFTWARE
3.3",Junior Developer,83355.0,-1,BACHELOR,-1,"Charlotte, NC",0,1 to 50 Employees,1,1984,39,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.3,2.9,2.6,3.0,3.1,2.7,2023-05-07 21:28:51.178587
177,"Otoy, Inc
4.2",Web Developer,90000.0,3,-1,-1,"Los Angeles, CA",0,1 to 50 Employees,1,-1,-1,-1,-1,$1 to $5 million (USD),2,Company - Private,4.2,4.0,4.4,3.8,4.0,4.1,2023-05-07 21:28:53.483009
178,"FIREANT STUDIO
3.5",Front End Web Developer,67297.0,-1,-1,-1,"Denver, CO",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.5,3.5,3.5,3.5,3.5,3.9,2023-05-07 21:28:55.648238
179,"ReVamp Wholesale
3.9",UX/Web Developer,79657.0,-1,-1,-1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$5 to $25 million (USD),3,Company - Private,3.9,3.9,3.3,3.7,3.1,4.3,2023-05-07 21:28:58.380125
180,"Warshauer Electric Supply
4.2",Web Developer,55628.0,-1,BACHELOR,-1,"Eatontown, NJ",0,51 to 200 Employees,2,1967,56,General Repair & Maintenance,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),4,Company - Private,4.2,4.1,3.6,4.4,4.3,3.8,2023-05-07 21:29:03.197219
181,"Leaf Logistics
4.0",Frontend Engineer (Remote),80000.0,-1,-1,-1,Remote,1,1 to 50 Employees,1,2017,6,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,-1,Company - Private,4.0,3.9,4.2,3.9,3.8,4.5,2023-05-07 21:29:05.491141
182,"Backcountry
2.7",Web Developer,70925.0,2,-1,-1,"Park City, UT",0,501 to 1000 Employees,4,1996,27,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),7,Company - Private,2.7,2.5,2.7,2.9,2.2,2.9,2023-05-07 21:29:07.776649
184,"WilsonHCG
4.4",Web Developer,90000.0,-1,-1,SENIOR,United States,0,501 to 1000 Employees,4,2002,21,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,4.4,4.1,3.7,4.6,4.2,4.5,2023-05-07 21:29:11.428608
185,"Mystic Lake Casino
3.7",Web Developer,59113.0,-1,BACHELOR,SENIOR,"Prior Lake, MN",0,Unknown,-1,1969,54,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,Government,3.7,3.3,3.9,3.7,3.4,3.1,2023-05-07 21:29:13.907684
186,"Sperling Interactive
3.3",Junior Front End Web Developer,69220.0,-1,-1,JUNIOR,"Salem, MA",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,3.3,3.0,3.4,3.9,3.4,4.2,2023-05-07 21:29:16.419406
188,Office of the Revisor of Statutes,Web Developer,99555.0,-1,-1,-1,"Saint Paul, MN",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:29:21.706387
189,"Fasteners Inc.
3.5",Jr. Web Developer,45760.0,-1,-1,-1,"Las Vegas, NV",0,1 to 50 Employees,1,-1,-1,-1,-1,$25 to $100 million (USD),4,Company - Private,3.5,3.5,3.3,3.5,2.8,3.5,2023-05-07 21:29:24.039598
190,JADR Software LLC,Web Developer,45000.0,2,BACHELOR,-1,Puerto Rico,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:29:26.715177
192,"Chaparral Boats Inc
2.8",Front End Web Developer,58329.0,-1,BACHELOR,JUNIOR,"Nashville, GA",0,501 to 1000 Employees,4,1965,58,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,Company - Public,2.8,2.6,3.2,3.0,2.1,2.9,2023-05-07 21:29:30.903360
193,"Pereless Systems
4.6",Entry Level Web Application Developer,81597.0,1,-1,SENIOR,"Red Bank, NJ",0,51 to 200 Employees,2,2000,23,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,Company - Private,4.6,4.4,4.5,4.6,4.5,4.4,2023-05-07 21:29:38.561262
195,"CAMELOT 3PL SOFTWARE
3.3",Junior Developer,83355.0,-1,BACHELOR,-1,"Charlotte, NC",0,1 to 50 Employees,1,1984,39,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.3,2.9,2.6,3.0,3.1,2.7,2023-05-07 21:29:42.047603
196,"Clarity Ventures
3.5",Front End Web Developer,67683.0,-1,-1,-1,"Austin, TX",0,1 to 50 Employees,1,2006,17,Internet & Web Services,Information Technology,$1 to $5 million (USD),2,Company - Private,3.5,3.7,3.7,3.6,3.3,3.0,2023-05-07 21:29:44.342007
198,"ReVamp Wholesale
3.9",UX/Web Developer,79657.0,-1,-1,-1,"Chicago, IL",0,1 to 50 Employees,1,-1,-1,-1,-1,$5 to $25 million (USD),3,Company - Private,3.9,3.9,3.3,3.7,3.1,4.3,2023-05-07 21:29:48.956346
199,Fame Foundry,Junior Web Designer & Front-End Developer,45000.0,-1,-1,-1,"Charlotte, NC",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-07 21:29:50.969139
